2026-01-28 00:02:15 | INFO | main:lifespan:12 - 应用正在关闭...
2026-01-28 00:02:17 | INFO | main:lifespan:10 - 应用启动中...
2026-01-28 00:03:01 | INFO | main:lifespan:12 - 应用正在关闭...
2026-01-28 00:03:03 | INFO | main:lifespan:10 - 应用启动中...
2026-01-28 00:03:27 | INFO | main:lifespan:12 - 应用正在关闭...
2026-01-28 00:03:29 | INFO | main:lifespan:10 - 应用启动中...
2026-01-28 00:03:36 | INFO | main:lifespan:12 - 应用正在关闭...
2026-01-28 00:03:38 | INFO | main:lifespan:10 - 应用启动中...
2026-01-28 00:03:45 | INFO | main:lifespan:12 - 应用正在关闭...
2026-01-28 00:03:47 | INFO | main:lifespan:10 - 应用启动中...
2026-01-28 00:03:49 | INFO | main:lifespan:12 - 应用正在关闭...
2026-01-28 00:03:51 | INFO | main:lifespan:10 - 应用启动中...
2026-01-28 00:04:23 | INFO | main:lifespan:12 - 应用正在关闭...
2026-01-28 00:04:25 | INFO | main:lifespan:10 - 应用启动中...
2026-01-28 00:05:06 | INFO | main:lifespan:12 - 应用正在关闭...
2026-01-28 00:05:08 | INFO | main:lifespan:10 - 应用启动中...
2026-01-28 00:05:31 | INFO | main:lifespan:12 - 应用正在关闭...
2026-01-28 00:05:33 | INFO | main:lifespan:10 - 应用启动中...
2026-01-28 00:05:52 | INFO | main:lifespan:12 - 应用正在关闭...
2026-01-28 00:06:18 | INFO | main:lifespan:10 - 应用启动中...
2026-01-28 00:08:55 | INFO | main:lifespan:12 - 应用正在关闭...
2026-01-28 00:12:06 | INFO | main:lifespan:11 - 应用启动中...
2026-01-28 00:12:47 | INFO | main:lifespan:13 - 应用正在关闭...
2026-01-28 00:12:50 | INFO | main:lifespan:11 - 应用启动中...
2026-01-28 00:12:58 | INFO | main:lifespan:13 - 应用正在关闭...
2026-01-28 00:13:00 | INFO | main:lifespan:11 - 应用启动中...
2026-01-28 00:13:56 | INFO | main:lifespan:13 - 应用正在关闭...
2026-01-28 00:13:58 | INFO | main:lifespan:11 - 应用启动中...
2026-01-28 00:13:59 | INFO | main:lifespan:13 - 应用正在关闭...
2026-01-28 00:14:01 | INFO | main:lifespan:11 - 应用启动中...
2026-01-28 00:14:11 | INFO | main:lifespan:13 - 应用正在关闭...
2026-01-28 00:14:13 | INFO | main:lifespan:11 - 应用启动中...
2026-01-28 00:14:26 | INFO | main:lifespan:13 - 应用正在关闭...
2026-01-28 00:14:28 | INFO | main:lifespan:11 - 应用启动中...
2026-01-28 00:14:34 | INFO | main:lifespan:13 - 应用正在关闭...
2026-01-28 00:14:36 | INFO | main:lifespan:11 - 应用启动中...
2026-01-28 00:14:37 | INFO | main:lifespan:13 - 应用正在关闭...
2026-01-28 00:14:39 | INFO | main:lifespan:11 - 应用启动中...
2026-01-28 00:15:39 | INFO | main:lifespan:13 - 应用正在关闭...
2026-01-28 00:15:57 | INFO | main:lifespan:11 - 应用启动中...
2026-01-28 00:16:08 | INFO | main:lifespan:13 - 应用正在关闭...
2026-01-28 00:16:53 | INFO | main:lifespan:11 - 应用启动中...
2026-01-28 00:18:16 | INFO | main:lifespan:13 - 应用正在关闭...
2026-01-28 00:18:18 | INFO | main:lifespan:11 - 应用启动中...
2026-01-28 00:20:56 | INFO | main:lifespan:13 - 应用正在关闭...
2026-01-28 00:21:04 | INFO | main:lifespan:12 - 应用启动中...
2026-01-28 00:21:10 | INFO | main:lifespan:14 - 应用正在关闭...
2026-01-28 00:21:12 | INFO | main:lifespan:12 - 应用启动中...
2026-01-28 00:22:25 | INFO | main:lifespan:14 - 应用正在关闭...
2026-01-28 00:22:27 | INFO | main:lifespan:12 - 应用启动中...
2026-01-28 00:22:46 | INFO | main:lifespan:14 - 应用正在关闭...
2026-01-28 00:22:48 | INFO | main:lifespan:12 - 应用启动中...
2026-01-28 00:23:03 | INFO | main:lifespan:14 - 应用正在关闭...
2026-01-28 00:23:05 | INFO | main:lifespan:12 - 应用启动中...
2026-01-28 00:23:26 | INFO | main:lifespan:14 - 应用正在关闭...
2026-01-28 00:23:28 | INFO | main:lifespan:12 - 应用启动中...
2026-01-28 00:24:04 | INFO | main:lifespan:14 - 应用正在关闭...
2026-01-28 00:24:19 | INFO | main:lifespan:12 - 应用启动中...
2026-01-28 00:24:23 | INFO | main:lifespan:14 - 应用正在关闭...
2026-01-28 00:24:25 | INFO | main:lifespan:12 - 应用启动中...
2026-01-28 00:24:41 | INFO | main:lifespan:14 - 应用正在关闭...
2026-01-28 00:24:43 | INFO | main:lifespan:12 - 应用启动中...
2026-01-28 00:25:32 | INFO | main:lifespan:14 - 应用正在关闭...
2026-01-28 00:25:34 | INFO | main:lifespan:12 - 应用启动中...
2026-01-28 00:27:11 | INFO | main:lifespan:14 - 应用正在关闭...
2026-01-28 00:27:13 | INFO | main:lifespan:12 - 应用启动中...
2026-01-28 00:27:28 | INFO | main:lifespan:14 - 应用正在关闭...
2026-01-28 00:27:30 | INFO | main:lifespan:12 - 应用启动中...
2026-01-28 00:28:14 | INFO | main:lifespan:14 - 应用正在关闭...
2026-01-28 00:28:16 | INFO | main:lifespan:12 - 应用启动中...
2026-01-28 00:29:47 | INFO | main:lifespan:14 - 应用正在关闭...
2026-01-28 00:29:49 | INFO | main:lifespan:12 - 应用启动中...
2026-01-28 00:30:24 | INFO | main:lifespan:14 - 应用正在关闭...
2026-01-28 00:30:26 | INFO | main:lifespan:12 - 应用启动中...
2026-01-28 00:30:38 | INFO | main:lifespan:14 - 应用正在关闭...
